Id;Label;Name;Platform;Year;Genre;Publisher
43;G0043;Mario Kart 7;3DS;2011;Racing;Nintendo
44;G0044;Halo 3;X360;2007;Shooter;Microsoft Game Studios
45;G0045;Grand Theft Auto V;PS4;2014;Action;Take-Two Interactive
46;G0046;Pokemon HeartGold/Pokemon SoulSilver;DS;2009;Action;Nintendo
47;G0047;Super Mario 64;N64;1996;Platform;Nintendo
48;G0048;Gran Turismo 4;PS2;2004;Racing;Sony Computer Entertainment
49;G0049;Super Mario Galaxy;Wii;2007;Platform;Nintendo
50;G0050;Pokemon Omega Ruby/Pokemon Alpha Sapphire;3DS;2014;Role-Playing;Nintendo
51;G0051;Super Mario Land 2: 6 Golden Coins;GB;1992;Adventure;Nintendo
52;G0052;Grand Theft Auto IV;X360;2008;Action;Take-Two Interactive
53;G0053;Gran Turismo;PS;1997;Racing;Sony Computer Entertainment
54;G0054;Super Mario 3D Land;3DS;2011;Platform;Nintendo
55;G0055;Gran Turismo 5;PS3;2010;Racing;Sony Computer Entertainment
56;G0056;Call of Duty: Modern Warfare 2;PS3;2009;Shooter;Activision
57;G0057;Grand Theft Auto IV;PS3;2008;Action;Take-Two Interactive
58;G0058;Super Mario All-Stars;SNES;1993;Platform;Nintendo
59;G0059;Pokemon FireRed/Pokemon LeafGreen;GBA;2004;Role-Playing;Nintendo
60;G0060;Super Mario 64;DS;2004;Platform;Nintendo
61;G0061;Just Dance 3;Wii;2011;Misc;Ubisoft
62;G0062;Call of Duty: Ghosts;X360;2013;Shooter;Activision
63;G0063;Halo: Reach;X360;2010;Shooter;Microsoft Game Studios
64;G0064;Mario Kart 64;N64;1996;Racing;Nintendo
65;G0065;New Super Mario Bros. 2;3DS;2012;Platform;Nintendo
66;G0066;Halo 4;X360;2012;Shooter;Microsoft Game Studios
67;G0067;Final Fantasy VII;PS;1997;Role-Playing;Sony Computer Entertainment
68;G0068;Call of Duty: Ghosts;PS3;2013;Shooter;Activision
69;G0069;Just Dance 2;Wii;2010;Misc;Ubisoft
70;G0070;Gran Turismo 2;PS;1999;Racing;Sony Computer Entertainment
71;G0071;Call of Duty 4: Modern Warfare;X360;2007;Shooter;Activision
72;G0072;Donkey Kong Country;SNES;1994;Platform;Nintendo
73;G0073;Minecraft;X360;2013;Misc;Microsoft Game Studios
74;G0074;Animal Crossing: New Leaf;3DS;2012;Simulation;Nintendo
75;G0075;Mario Party DS;DS;2007;Misc;Nintendo
76;G0076;The Elder Scrolls V: Skyrim;X360;2011;Role-Playing;Bethesda Softworks
77;G0077;Super Mario Kart;SNES;1992;Racing;Nintendo
78;G0078;FIFA 16;PS4;2015;Sports;Electronic Arts
79;G0079;Wii Party;Wii;2010;Misc;Nintendo
80;G0080;Halo 2;XB;2004;Shooter;Microsoft Game Studios
81;G0081;Mario Party 8;Wii;2007;Misc;Nintendo
82;G0082;Pokemon Black 2/Pokemon White 2;DS;2012;Role-Playing;Nintendo
83;G0083;FIFA Soccer 13;PS3;2012;Action;Electronic Arts
84;G0084;The Sims 3;PC;2009;Simulation;Electronic Arts
85;G0085;GoldenEye 007;N64;1997;Shooter;Nintendo
86;G0086;Mario & Sonic at the Olympic Games;Wii;2007;Sports;Sega
87;G0087;Final Fantasy X;PS2;2001;Role-Playing;Sony Computer Entertainment
88;G0088;Final Fantasy VIII;PS;1999;Role-Playing;SquareSoft
89;G0089;Pokémon Platinum Version;DS;2008;Role-Playing;Nintendo
90;G0090;Pac-Man;2600;1982;Puzzle;Atari
91;G0091;Grand Theft Auto: Liberty City Stories;PSP;2005;Action;Take-Two Interactive
92;G0092;Super Mario Galaxy 2;Wii;2010;Platform;Nintendo
93;G0093;Star Wars Battlefront (2015);PS4;2015;Shooter;Electronic Arts
94;G0094;Call of Duty: Advanced Warfare;PS4;2014;Shooter;Activision
95;G0095;The Legend of Zelda: Ocarina of Time;N64;1998;Action;Nintendo
96;G0096;Crash Bandicoot 2: Cortex Strikes Back;PS;1997;Platform;Sony Computer Entertainment
97;G0097;Super Mario Bros. 2;NES;1988;Platform;Nintendo
98;G0098;Super Smash Bros. for Wii U and 3DS;3DS;2014;Fighting;Nintendo
99;G0099;Call of Duty: World at War;X360;2008;Shooter;Activision
100;G0100;Battlefield 3;X360;2011;Shooter;Electronic Arts
101;G0101;The Legend of Zelda: Twilight Princess;Wii;2006;Action;Nintendo
102;G0102;Call of Duty: Black Ops 3;XOne;2015;Shooter;Activision
103;G0103;Just Dance;Wii;2009;Misc;Ubisoft
104;G0104;Battlefield 3;PS3;2011;Shooter;Electronic Arts
105;G0105;Need for Speed Underground;PS2;2003;Racing;Electronic Arts
106;G0106;Tekken 3;PS;1998;Fighting;Sony Computer Entertainment
107;G0107;Crash Bandicoot 3: Warped;PS;1998;Platform;Sony Computer Entertainment
108;G0108;Super Smash Bros. Melee;GC;2001;Fighting;Nintendo
109;G0109;Mario Kart 8;WiiU;2014;Racing;Nintendo
110;G0110;Fallout 4;PS4;2015;Role-Playing;Bethesda Softworks
111;G0111;Mario Kart: Double Dash!!;GC;2003;Racing;Nintendo
112;G0112;Just Dance 4;Wii;2012;Misc;Ubisoft
113;G0113;FIFA 14;PS3;2013;Sports;Electronic Arts
114;G0114;Need for Speed Underground 2;PS2;2004;Racing;Electronic Arts
115;G0115;Medal of Honor: Frontline;PS2;2002;Shooter;Electronic Arts
116;G0116;Uncharted 3: Drake's Deception;PS3;2011;Action;Sony Computer Entertainment
117;G0117;Crash Bandicoot;PS;1996;Platform;Sony Computer Entertainment
118;G0118;Zumba Fitness;Wii;2010;Sports;505 Games
119;G0119;Gears of War 2;X360;2008;Shooter;Microsoft Game Studios
120;G0120;Uncharted 2: Among Thieves;PS3;2009;Action;Sony Computer Entertainment
121;G0121;Call of Duty 4: Modern Warfare;PS3;2007;Shooter;Activision
122;G0122;FIFA 12;PS3;2011;Sports;Electronic Arts
123;G0123;Big Brain Academy;DS;2005;Misc;Nintendo
124;G0124;Red Dead Redemption;PS3;2010;Action;Take-Two Interactive
125;G0125;FIFA 15;PS4;2014;Sports;Electronic Arts
126;G0126;Donkey Kong Country Returns;Wii;2010;Platform;Nintendo
127;G0127;The Elder Scrolls V: Skyrim;PS3;2011;Role-Playing;Bethesda Softworks
128;G0128;The Legend of Zelda;NES;1986;Action;Nintendo
129;G0129;Assassin's Creed III;PS3;2012;Action;Ubisoft
130;G0130;Halo: Combat Evolved;XB;2001;Shooter;Microsoft Game Studios
131;G0131;Pokémon Emerald Version;GBA;2004;Role-Playing;Nintendo
132;G0132;Kingdom Hearts;PS2;2002;Role-Playing;Sony Computer Entertainment
133;G0133;Pokémon Crystal Version;GB;2000;Role-Playing;Nintendo
134;G0134;Halo 3: ODST;X360;2009;Shooter;Microsoft Game Studios
135;G0135;Red Dead Redemption;X360;2010;Action;Take-Two Interactive
136;G0136;Super Mario Sunshine;GC;2002;Platform;Nintendo
137;G0137;Street Fighter II: The World Warrior;SNES;1992;Fighting;Capcom
138;G0138;World of Warcraft;PC;2004;Role-Playing;Activision
139;G0139;Driver;PS;1999;Action;GT Interactive
140;G0140;Kinect Sports;X360;2010;Sports;Microsoft Game Studios
141;G0141;Gears of War 3;X360;2011;Shooter;Microsoft Game Studios
142;G0142;Gears of War;X360;2006;Shooter;Microsoft Game Studios
143;G0143;Metal Gear Solid 2: Sons of Liberty;PS2;2001;Action;Konami Digital Entertainment
144;G0144;Sonic the Hedgehog 2;GEN;1992;Platform;Sega
145;G0145;Metal Gear Solid 4: Guns of the Patriots;PS3;2008;Action;Konami Digital Entertainment
146;G0146;Metal Gear Solid;PS;1998;Action;Konami Digital Entertainment
147;G0147;The Last of Us;PS3;2013;Action;Sony Computer Entertainment Europe
148;G0148;Final Fantasy XII;PS2;2006;Role-Playing;Square Enix
149;G0149;LittleBigPlanet;PS3;2008;Platform;Sony Computer Entertainment
150;G0150;Dragon Quest IX: Sentinels of the Starry Skies;DS;2009;Role-Playing;Nintendo
151;G0151;LEGO Star Wars: The Complete Saga;Wii;2007;Action;LucasArts
152;G0152;Resident Evil 2;PS;1998;Action;Virgin Interactive
153;G0153;Tekken 2;PS;1996;Fighting;Sony Computer Entertainment
154;G0154;Cooking Mama;DS;2006;Simulation;505 Games
155;G0155;Destiny;PS4;2014;Shooter;Activision
156;G0156;Tetris;NES;1988;Puzzle;Nintendo
157;G0157;Assassin's Creed II;PS3;2009;Action;Ubisoft
158;G0158;Super Smash Bros.;N64;1999;Fighting;Nintendo
159;G0159;Assassin's Creed;X360;2007;Adventure;Ubisoft
160;G0160;Batman: Arkham City;PS3;2011;Action;Warner Bros. Interactive Entertainment
161;G0161;Forza Motorsport 3;X360;2009;Racing;Microsoft Game Studios
162;G0162;Monster Hunter Freedom Unite;PSP;2008;Role-Playing;Capcom
163;G0163;Super Mario Advance;GBA;2001;Platform;Nintendo
164;G0164;Mario Kart: Super Circuit;GBA;2001;Racing;Nintendo
165;G0165;Super Mario World;GBA;2001;Platform;Nintendo
166;G0166;Pokemon Stadium;N64;1999;Strategy;Nintendo
167;G0167;Call of Duty: World at War;PS3;2008;Shooter;Activision
168;G0168;Crash Bandicoot: The Wrath of Cortex;PS2;2001;Platform;Universal Interactive
169;G0169;Minecraft;PS3;2014;Misc;Sony Computer Entertainment
170;G0170;Final Fantasy XIII;PS3;2009;Role-Playing;Square Enix
171;G0171;Dr. Mario;GB;1989;Puzzle;Nintendo
172;G0172;Pokemon Pinball;GB;1999;Misc;Nintendo
173;G0173;Assassin's Creed III;X360;2012;Action;Ubisoft
174;G0174;Final Fantasy IX;PS;2000;Role-Playing;SquareSoft
175;G0175;Final Fantasy X-2;PS2;2003;Role-Playing;Electronic Arts
176;G0176;Donkey Kong 64;N64;1999;Platform;Nintendo
177;G0177;Assassin's Creed II;X360;2009;Action;Ubisoft
178;G0178;Professor Layton and the Curious Village;DS;2007;Puzzle;Nintendo
179;G0179;Tomb Raider II;PS;1997;Action;Eidos Interactive
180;G0180;Madden NFL 2004;PS2;N/A;Sports;Electronic Arts
181;G0181;Dragon Quest VIII: Journey of the Cursed King;PS2;2004;Role-Playing;Square Enix
182;G0182;Diablo III;PC;2012;Role-Playing;Activision
183;G0183;Super Mario Bros. 3;GBA;2003;Platform;Nintendo
184;G0184;New Super Mario Bros. U;WiiU;2012;Platform;Nintendo
185;G0185;Super Mario Land 3: Wario Land;GB;1994;Platform;Nintendo
186;G0186;FIFA Soccer 13;X360;2012;Action;Electronic Arts
187;G0187;The Legend of Zelda: Phantom Hourglass;DS;2007;Action;Nintendo
188;G0188;Donkey Kong Country 2: Diddy's Kong Quest;SNES;1995;Platform;Nintendo
189;G0189;Tomodachi Life;3DS;2013;Simulation;Nintendo
190;G0190;Mario & Sonic at the Olympic Games;DS;2008;Sports;Sega
191;G0191;Medal of Honor: Rising Sun;PS2;2003;Shooter;Electronic Arts
192;G0192;Kirby's Dream Land;GB;1992;Platform;Nintendo
193;G0193;Fable III;X360;2010;Role-Playing;Microsoft Game Studios
194;G0194;Call of Duty: Advanced Warfare;XOne;2014;Shooter;Activision
195;G0195;Microsoft Flight Simulator;PC;1996;Simulation;Microsoft Game Studios
196;G0196;Guitar Hero II;PS2;2006;Misc;RedOctane
197;G0197;Resident Evil 5;PS3;2009;Action;Capcom
198;G0198;Grand Theft Auto V;XOne;2014;Action;Take-Two Interactive
199;G0199;Grand Theft Auto: Vice City Stories;PSP;2006;Action;Take-Two Interactive
200;G0200;FIFA Soccer 11;PS3;2010;Sports;Electronic Arts
201;G0201;Super Mario Bros.;GB;1999;Platform;Nintendo
202;G0202;Resident Evil;PS;1996;Action;Virgin Interactive
203;G0203;Tony Hawk's Pro Skater;PS;1999;Sports;Activision
204;G0204;Super Smash Bros. for Wii U and 3DS;WiiU;2014;Fighting;Nintendo
205;G0205;Warzone 2100;PS;1999;Strategy;Eidos Interactive
206;G0206;Spyro the Dragon;PS;1998;Platform;Sony Computer Entertainment
207;G0207;Link's Crossbow Training;Wii;2007;Shooter;Nintendo
208;G0208;Guitar Hero III: Legends of Rock;PS2;2007;Misc;Activision
209;G0209;Fallout 3;X360;2008;Role-Playing;Bethesda Softworks
210;G0210;Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness;DS;2007;Role-Playing;Nintendo
211;G0211;Uncharted: Drake's Fortune;PS3;2007;Action;Sony Computer Entertainment
212;G0212;Madden NFL 06;PS2;2005;Sports;Electronic Arts
213;G0213;LEGO Star Wars: The Complete Saga;DS;2007;Action;LucasArts
214;G0214;Diddy Kong Racing;N64;1997;Racing;Nintendo
215;G0215;Monster Hunter Freedom 3;PSP;2010;Role-Playing;Capcom
216;G0216;Dr. Mario;NES;1990;Puzzle;Nintendo
217;G0217;God of War III;PS3;2010;Action;Sony Computer Entertainment
218;G0218;StarCraft II: Wings of Liberty;PC;2010;Strategy;Activision
219;G0219;Assassin's Creed;PS3;2007;Adventure;Ubisoft
220;G0220;FIFA 15;PS3;2014;Sports;Electronic Arts
221;G0221;Crash Team Racing;PS;1999;Racing;Sony Computer Entertainment
222;G0222;FIFA 17;PS4;2016;Sports;Electronic Arts
223;G0223;Batman: Arkham City;X360;2011;Action;Warner Bros. Interactive Entertainment
224;G0224;Driver 2;PS;2000;Action;Atari
225;G0225;The Simpsons: Hit & Run;PS2;2003;Racing;Vivendi Games
226;G0226;Tony Hawk's Pro Skater 2;PS;2000;Sports;Activision
227;G0227;Animal Crossing: City Folk;Wii;2008;Simulation;Nintendo
228;G0228;The Lord of the Rings: The Two Towers;PS2;2002;Action;Electronic Arts
229;G0229;Forza Motorsport 4;X360;2011;Racing;Microsoft Game Studios
230;G0230;Tomb Raider;PS;1996;Action;Eidos Interactive
231;G0231;Guitar Hero III: Legends of Rock;Wii;2007;Misc;Activision
232;G0232;The Legend of Zelda: A Link to the Past;SNES;1991;Action;Nintendo
233;G0233;The Legend of Zelda: The Wind Waker;GC;2002;Action;Nintendo
234;G0234;Mario & Sonic at the Olympic Winter Games;Wii;2009;Sports;Sega
235;G0235;Luigi's Mansion: Dark Moon;3DS;2013;Action;Nintendo
236;G0236;Splatoon;WiiU;2015;Shooter;Nintendo
237;G0237;The Last of Us;PS4;2014;Action;Sony Computer Entertainment
238;G0238;Guitar Hero III: Legends of Rock;X360;2007;Misc;Activision
239;G0239;Madden NFL 2005;PS2;2004;Sports;Electronic Arts
240;G0240;Pitfall!;2600;1981;Platform;Activision
241;G0241;Madden NFL 07;PS2;2006;Sports;Electronic Arts
242;G0242;Spider-Man: The Movie;PS2;2002;Action;Activision
243;G0243;Dragon Quest VII: Warriors of Eden;PS;2000;Role-Playing;Enix Corporation
244;G0244;Uncharted: The Nathan Drake Collection;PS4;2015;Action;Sony Computer Entertainment
245;G0245;Call of Duty: Advanced Warfare;PS3;2014;Shooter;Activision
246;G0246;God of War;PS2;2005;Action;Sony Computer Entertainment
247;G0247;Nintendo Land;WiiU;2012;Misc;Nintendo
248;G0248;Michael Jackson: The Experience;Wii;2010;Misc;Ubisoft
249;G0249;Tony Hawk's Pro Skater 3;PS2;2001;Sports;Activision
250;G0250;Winning Eleven: Pro Evolution Soccer 2007;PS2;2006;Sports;Konami Digital Entertainment
251;G0251;The Elder Scrolls IV: Oblivion;X360;2006;Role-Playing;Take-Two Interactive
252;G0252;Zelda II: The Adventure of Link;NES;1987;Adventure;Nintendo
253;G0253;Need for Speed: Most Wanted;PS2;2005;Racing;Electronic Arts
254;G0254;Resistance: Fall of Man;PS3;2006;Shooter;Sony Computer Entertainment
255;G0255;Sonic the Hedgehog;GEN;1991;Platform;Sega
256;G0256;Kingdom Hearts II;PS2;2005;Role-Playing;Square Enix
257;G0257;FIFA 14;X360;2013;Sports;Electronic Arts
258;G0258;Call of Duty: Advanced Warfare;X360;2014;Shooter;Activision
259;G0259;Asteroids;2600;1980;Shooter;Atari
260;G0260;Fable II;X360;2008;Role-Playing;Microsoft Game Studios
261;G0261;Halo 5: Guardians;XOne;2015;Shooter;Microsoft Game Studios
262;G0262;Super Mario 3D World;WiiU;2013;Platform;Nintendo
263;G0263;Batman: Arkham Asylum;PS3;2009;Action;Eidos Interactive
264;G0264;Assassin's Creed: Revelations;PS3;2011;Action;Ubisoft
265;G0265;Namco Museum;GBA;2001;Misc;Namco Bandai Games
266;G0266;Metal Gear Solid 3: Snake Eater;PS2;2004;Action;Konami Digital Entertainment
267;G0267;Daxter;PSP;2006;Platform;Sony Computer Entertainment
268;G0268;Warcraft II: Tides of Darkness;PC;1995;Strategy;Activision
269;G0269;The Legend of Zelda: Ocarina of Time;3DS;2011;Action;Nintendo
270;G0270;FIFA Soccer 06;PS2;2005;Sports;Electronic Arts
271;G0271;EyeToy Play;PS2;2003;Misc;Sony Computer Entertainment
272;G0272;Uncharted 4: A Thief's End;PS4;2016;Shooter;Sony Computer Entertainment
273;G0273;Gran Turismo 5 Prologue;PS3;2007;Racing;Sony Computer Entertainment
274;G0274;Assassin's Creed: Revelations;X360;2011;Action;Ubisoft
275;G0275;Street Fighter IV;PS3;2009;Fighting;Capcom
276;G0276;FIFA 12;X360;2011;Sports;Electronic Arts
277;G0277;Teenage Mutant Ninja Turtles;NES;1989;Action;Palcom
278;G0278;Excitebike;NES;1984;Racing;Nintendo
279;G0279;Frogger;PS;1997;Action;Hasbro Interactive
280;G0280;Madden NFL 2003;PS2;2002;Sports;Electronic Arts
281;G0281;Watch Dogs;PS4;2014;Action;Ubisoft
282;G0282;Half-Life;PC;1997;Shooter;Vivendi Games
283;G0283;Super Mario World 2: Yoshi's Island;SNES;1995;Platform;Nintendo
284;G0284;FIFA Soccer 07;PS2;2006;Sports;Electronic Arts
285;G0285;The Legend of Zelda: Skyward Sword;Wii;2011;Action;Nintendo
286;G0286;Street Fighter II Turbo;SNES;1992;Fighting;Capcom
287;G0287;Carnival Games;Wii;2007;Misc;Take-Two Interactive
288;G0288;Fallout 4;XOne;2015;Role-Playing;Bethesda Softworks
289;G0289;World of Warcraft: The Burning Crusade;PC;2007;Role-Playing;Activision
290;G0290;Fallout: New Vegas;X360;2010;Role-Playing;Bethesda Softworks
291;G0291;God of War II;PS2;2007;Action;Sony Computer Entertainment
292;G0292;Forza Motorsport 2;X360;2007;Racing;Microsoft Game Studios
293;G0293;World Soccer Winning Eleven 9;PS2;2005;Sports;Konami Digital Entertainment
294;G0294;Namco Museum Vol.3;PS;1996;Misc;Sony Computer Entertainment
295;G0295;Tekken Tag Tournament;PS2;2000;Fighting;Namco Bandai Games
296;G0296;Far Cry 4;PS4;2014;Shooter;Ubisoft
297;G0297;Star Fox 64;N64;1997;Shooter;Nintendo
298;G0298;Minecraft;PS4;2014;Misc;Sony Computer Entertainment Europe
299;G0299;Golf;NES;1984;Sports;Nintendo
300;G0300;Fallout 3;PS3;2008;Role-Playing;Bethesda Softworks
301;G0301;Professor Layton and the Diabolical Box;DS;2007;Puzzle;Nintendo
302;G0302;Left 4 Dead 2;X360;2009;Shooter;Electronic Arts
303;G0303;Namco Museum: 50th Anniversary;PS2;2005;Misc;Namco Bandai Games
304;G0304;EA Sports Active;Wii;2009;Sports;Electronic Arts
305;G0305;Assassin's Creed: Unity;PS4;2014;Action;Ubisoft
306;G0306;Donkey Kong Land;GB;1994;Platform;Nintendo
307;G0307;Tony Hawk's Underground;PS2;2003;Sports;Activision
308;G0308;Assassin's Creed IV: Black Flag;PS3;2013;Action;Ubisoft
309;G0309;Monster Hunter 4 Ultimate;3DS;2014;Role-Playing;Nintendo
310;G0310;MotorStorm;PS3;2006;Racing;Sony Computer Entertainment
311;G0311;The Elder Scrolls V: Skyrim;PC;2011;Role-Playing;Bethesda Softworks
312;G0312;Tekken 5;PS2;2005;Fighting;Namco Bandai Games
313;G0313;Dragon Warrior III;NES;1988;Role-Playing;Enix Corporation
314;G0314;Sports Champions;PS3;2010;Sports;Sony Computer Entertainment
315;G0315;NBA 2K16;PS4;2015;Sports;Take-Two Interactive
316;G0316;World Soccer Winning Eleven 8 International;PS2;2004;Sports;Konami Digital Entertainment
317;G0317;Flash Focus: Vision Training in Minutes a Day;DS;2007;Misc;Nintendo
318;G0318;Namco Museum Vol.1;PS;1995;Misc;Sony Computer Entertainment
319;G0319;The Legend of Zelda: Link's Awakening;GB;1992;Action;Nintendo
320;G0320;Mario & Luigi: Bowser's Inside Story;DS;2009;Role-Playing;Nintendo
321;G0321;Big Brain Academy: Wii Degree;Wii;2007;Misc;Nintendo
322;G0322;Nintendogs + cats;3DS;2011;Simulation;Nintendo
323;G0323;Batman: Arkham Knight;PS4;2015;Action;Warner Bros. Interactive Entertainment
324;G0324;Mario & Sonic at the London 2012 Olympic Games;Wii;2011;Sports;Sega
325;G0325;LEGO Indiana Jones: The Original Adventures;X360;2008;Action;Activision
326;G0326;Resident Evil Director's Cut;PS;1996;Action;Virgin Interactive
327;G0327;Ratchet & Clank: Size Matters;PSP;2007;Platform;Sony Computer Entertainment
328;G0328;Just Dance 2014;Wii;2013;Misc;Ubisoft
329;G0329;The Sims: Unleashed;PC;2002;Simulation;Electronic Arts
330;G0330;Super Paper Mario;Wii;2007;Platform;Nintendo
331;G0331;Harry Potter and the Sorcerer's Stone;PS;2001;Action;Electronic Arts
332;G0332;The Witcher 3: Wild Hunt;PS4;2015;Role-Playing;Namco Bandai Games
333;G0333;Resident Evil 3: Nemesis;PS;1999;Action;Eidos Interactive
334;G0334;Spyro: Year of the Dragon;PS;2000;Platform;Sony Computer Entertainment
335;G0335;FIFA Soccer 2005;PS2;2004;Sports;Electronic Arts
336;G0336;Pokémon Trading Card Game;GB;1998;Strategy;Nintendo
337;G0337;Battlefield 4;PS3;2013;Shooter;Electronic Arts
338;G0338;MySims;DS;2007;Simulation;Electronic Arts
339;G0339;Friend Collection;DS;2009;Misc;Nintendo
340;G0340;Tony Hawk's Pro Skater 4;PS2;2002;Sports;Activision
341;G0341;Midnight Club 3: DUB Edition;PSP;2005;Racing;Take-Two Interactive
342;G0342;Banjo-Kazooie;N64;1998;Platform;Nintendo
343;G0343;SOCOM: U.S. Navy SEALs;PS2;2002;Shooter;Sony Computer Entertainment
344;G0344;Guitar Hero: World Tour;Wii;2008;Misc;Activision
345;G0345;Gran Turismo 6;PS3;2013;Racing;Sony Computer Entertainment
346;G0346;Jak and Daxter: The Precursor Legacy;PS2;2001;Platform;Sony Computer Entertainment
347;G0347;Pokemon Snap;N64;1999;Simulation;Nintendo
348;G0348;FIFA Soccer 10;PS3;2009;Sports;Electronic Arts
349;G0349;Pro Evolution Soccer 2008;PS2;2007;Sports;Konami Digital Entertainment
350;G0350;Call of Duty: Ghosts;PS4;2013;Shooter;Activision
351;G0351;Resident Evil 4;PS2;2005;Action;Capcom
352;G0352;Tom Clancy's The Division;PS4;2016;Shooter;Ubisoft
353;G0353;Star Wars: Battlefront;PS2;2004;Shooter;LucasArts
354;G0354;Doom II: Hell on Earth;PC;1994;Shooter;Virgin Interactive
355;G0355;The Simpsons: Road Rage;PS2;2001;Racing;Electronic Arts
356;G0356;Cooking Mama 2: Dinner With Friends;DS;2007;Simulation;505 Games
357;G0357;Luigi's Mansion;GC;2001;Action;Nintendo
358;G0358;Star Wars: Battlefront II;PS2;2005;Shooter;LucasArts
359;G0359;WWF SmackDown!;PS;2000;Fighting;THQ
360;G0360;Croc: Legend of the Gobbos;PS;1997;Platform;Fox Interactive
361;G0361;Grand Theft Auto: Liberty City Stories;PS2;2006;Action;Take-Two Interactive
362;G0362;The Getaway;PS2;2002;Action;Sony Computer Entertainment
363;G0363;Tomb Raider III: Adventures of Lara Croft;PS;1997;Action;Eidos Interactive
364;G0364;James Bond 007: Agent Under Fire;PS2;2001;Shooter;Electronic Arts
365;G0365;LEGO Star Wars: The Video Game;PS2;2005;Action;Eidos Interactive
366;G0366;Battlefield 4;X360;2013;Shooter;Electronic Arts
367;G0367;FIFA Soccer 11;X360;2010;Sports;Electronic Arts
368;G0368;Rugrats in Paris: The Movie;PS;2000;Action;THQ
369;G0369;Spyro 2: Ripto's Rage!;PS;1999;Platform;Sony Computer Entertainment
370;G0370;Left 4 Dead;X360;2008;Shooter;Electronic Arts
371;G0371;Mario & Sonic at the Olympic Winter Games;DS;2009;Sports;Sega
372;G0372;Resident Evil 5;X360;2009;Action;Capcom
373;G0373;Donkey Kong Country 3: Dixie Kong's Double Trouble!;SNES;1996;Platform;Nintendo
374;G0374;Assassin's Creed: Brotherhood;X360;2010;Action;Ubisoft
375;G0375;Kung Fu;NES;1985;Action;Nintendo
376;G0376;Batman: Arkham Asylum;X360;2009;Action;Eidos Interactive
377;G0377;Clubhouse Games;DS;2006;Misc;Nintendo
378;G0378;FIFA Soccer 2004;PS2;N/A;Sports;Electronic Arts
